"id_bradesco","unit_name","data_inicio_automacao","dias_antes_automacao"
895,"895 TRIANON-USP","03/18/25",53
1322,"1322 JARDINS-USP","03/18/25",49
302,"302 RUDGE RAMOS-URB.SBC","03/18/25",45
1382,"1382 ALPHAVILLE-BARUERI","03/18/25",41
127,"127 OSASCO - CENTRO","03/18/25",40
2229,"2229 PQ.S.VICENTE-U.MAUA","03/18/25",33
1903,"1903 S.LOURENCO DA MATA","03/18/25",33
2036,"2036 JD.MARAJOARA-USP","03/18/25",32
121,"121 MAUA-CENTRO","03/18/25",31
3190,"3190 R.PAISSANDU-U.RECIFE","03/18/25",31
2575,"2575 B.DEMARCHI-U.SBC","03/24/25",34
231,"231 B.CUBAS DM M.CRUZES","03/24/25",33
2458,"2458 V.SAO JOSE-USP","03/24/25",33
3267,"3267 GUILH.COTCHING-USP","03/24/25",32
2866,"2866 AV RAGUEB CHOHFI USP","03/24/25",32
2399,"2399 ITAPISSUMA","03/24/25",31
1974,"1974 CANGAIBA-USP","03/24/25",31
1479,"1479 ARTUR ALVIM-USP","03/24/25",30
1442,"1442 CID.DUTRA-USP","03/24/25",30
2947,"2947 PRAZERES-U.JAB.GUAR.","03/31/25",34
557,"557 RIBEIRAO PIRES","03/31/25",32
312,"312 V.GUILHERME-USP","03/31/25",32
1700,"1700 STA.CRUZ-URJ","03/31/25",32
100,"100 SUZANO-CENTRO","03/31/25",31
2490,"2490 REALENGO-URJ","03/31/25",30
2834,"2834 AV.PIRES DO RIO -USP","03/31/25",30
1911,"1911 AV.SAPOPEMBA-USP","04/17/25",40
461,"461 N.SRA.SABARA-USP","04/17/25",40
1744,"1744 V.DAS MERCES-USP","04/17/25",37
505,"505 PAES BARROS-USP","04/17/25",36
2302,"2302 CID.A.E.CARVALHO-USP","04/17/25",35
2208,"2208 PAUDALHO","04/17/25",35
2199,"2199 JD.GUEDALA-USP","04/17/25",34
2392,"2392 V.SABRINA-USP","04/17/25",34
836,"836 MORENO","04/17/25",33
119,"119 CAMBUCI-USP","04/17/25",33
516,"516 GRANJA JULIETA-USP","04/17/25",29
1261,"1261 ITAQUAQUECETUBA-CTO","04/17/25",28
6312,"6312 AV.DR.JOSE RUFINO-RECIFE, PE","04/17/25",27
3935,"3935 IPUTINGA-URB.RECIFE, PE","04/17/25",27
2403,"2403 PORTAL MORUMBI-USP","04/17/25",27
614,"614 HIGIENOPOLIS-USP","04/17/25",27
211,"211 FERRAZ VASCONCELOS","04/17/25",26
2062,"2062 FRADIQ.COUTINHO-USP","04/17/25",26
5639,"5639 AV.ENG.DOMIN FERR-U.RECIFE, PE","04/17/25",23
1936,"1936 CITY MOOCA-USP","04/17/25",23
6690,"6690 SULACAP-URB.R.JANEIRO,RJ","04/17/25",23
2751,"2751 ESTRADA DO MENDANHA - URJ","04/17/25",23
2874,"2874 JD. CAMARGO-USP","04/17/25",23
101,"101 ITAQUERA-USP","04/17/25",22
3031,"3031 IBICARAI","04/17/25",21
90,"90 IPIRANGA-USP","04/17/25",21
2872,"2872 V.CARMOSINA-USP","04/17/25",21
3022,"3022 COARACI","04/17/25",21
656,"656 V.SONIA-USP","04/17/25",20
298,"298 V.CARRAO-USP","04/17/25",20
1315,"1315 AV GETULIO VARGAS URB NILOPOLIS RJ","04/17/25",20
1783,"1783 CARPINA-PE","04/17/25",20
933,"933 MIGUEL COUTO","04/17/25",19
118,"118 PENHA-USP","04/17/25",19
2284,"2284 LOTE XV-U.BELF.ROXO","04/17/25",19
3569,"3569 URUCUCA","04/17/25",19
120,"120 JABAQUARA-USP","04/17/25",19
97,"97 TATUAPE-USP","04/17/25",19
507,"507 BARBACENA","04/17/25",16
3010,"3010 BUERAREMA","04/17/25",16
137,"137 VILA FORMOSA-USP","04/17/25",16
2518,"2518 CASA FORTE-URE","04/17/25",16
1365,"1365 AV.MATEO BEI-USP","04/17/25",16
657,"657 B POLVILHO CAJAMAR","05/15/25",40
1310,"1310 R.DR.C.CAVALC.-UITAG","05/15/25",36
3201,"3201 RECIFE-CENTRO","05/15/25",35
1652,"1652 TEIXEIRA DE FREITAS","05/15/25",34
3093,"3093 ITAMARAJU","05/15/25",33
2798,"2798 IMBIRIBEIRA-URE","05/15/25",33
109,"109 S.BERNARDO CAMPO-CTO","05/15/25",33
3685,"3685 ITABELA","05/15/25",30
1788,"1788 SERRA BRAGANCA-USP","05/15/25",30
886,"886 MANGARATIBA","05/15/25",29
1068,"1068 REALEZA-MANHUACU","06/02/25",46
2033,"2033 IGARASSU","05/15/25",28
297,"297 CID.VARGAS-USP","05/15/25",28
3263,"3263 CONGONHAS-USP","06/02/25",41
3287,"3287 V.PAROLIN-UCT","06/02/25",41
1126,"1126 PRAIA DOS INGLESES - URB FLORIANOPOLIS","06/02/25",40
1197,"1197 BACACHERI-UCT","06/02/25",40
3755,"3755 PC DOM EMANOEL- U ANAPOLIS- GO","06/02/25",40
78,"78 DRACENA","06/02/25",39
785,"785 IPOJUCA","06/02/25",39
1453,"1453 BANGU-URJ","06/02/25",38
156,"156 NACOES UNIDAS - USP","06/02/25",38
42,"42 PRES.BERNARDES","06/02/25",38
165,"165 BELENZINHO-USP","06/02/25",37
986,"986 VICOSA","06/02/25",37
1602,"1602 LEOPOLDINA","06/02/25",37
1986,"1986 JORDANESIA DM CAJAM.","06/02/25",37
1870,"1870 ALEM PARAIBA","06/02/25",34
1611,"1611 PERUIBE","06/02/25",34
5727,"5727 BIGORRILHO-URB.CURITIBA,PR","06/02/25",34
1851,"1851 SHOPP.MORUMBI-USP","06/02/25",34
1962,"1962 VARZEA PAULISTA","06/02/25",33
1018,"1018 CAUCAIA DO ALTO - COTIA","06/02/25",33
131,"131 LIBERDADE-USP","06/02/25",33
1472,"1472 SÃO JOSÉ - CENTRO","06/02/25",33
1610,"1610 ITANHAEM-CTO","06/02/25",32
449,"449 BRIG.L.ANTONIO-USP","06/02/25",32
976,"976 PALMEIROPOLIS","06/02/25",32
1284,"1284 BAIRRO STA CRUZ DA SERRA U DQ CAXIAS RJ","06/02/25",32
2471,"2471 AV.BRASILIA-UCT","06/02/25",30
780,"780 SITIO CERCADO-URB CURITIB","06/02/25",30
1232,"1232 PIEDADE JABOATAO","06/02/25",30
5749,"5749 R.MANOEL V.MACEDO-CURITIBA,PR","06/02/25",30
286,"286 CONDE BOA VISTA-URE","06/02/25",30
3787,"3787 MANHUACU","06/02/25",30
1993,"1993 PONTE RASA-USP","06/02/25",28
1259,"1259 EMBU DAS ARTES - SP","06/02/25",27
499,"499 CAPELA SOCORRO-USP","06/02/25",27
1698,"1698 IRAJA-URJ","06/02/25",27
2274,"2274 AV.85-UGOIANIA","06/02/25",27
3084,"3084 TABOAO DA SERRA-CTO","06/16/25",39
5218,"5218 ITACARE","06/16/25",39
496,"496 ACLIMACAO-USP","06/16/25",38
3354,"3354 PREF.PRAIA GDE.UPGDE","06/16/25",37
725,"725 PORTO NACIONAL","06/16/25",37
1978,"1978 MONGAGUA","06/16/25",37
199,"199 V.MARIA-USP","06/16/25",37
616,"616 ARAGUACU","06/16/25",34
529,"529 QUILOMETRO 18-U.OSAS","06/16/25",33
1599,"1599 OLINDA-CENTRO","06/16/25",33
421,"421 HEITOR PENTEADO-USP","06/16/25",33
237,"237 ILHEUS-CENTRO","06/16/25",33
3578,"3578 RIO REAL","06/16/25",32
