hora,consumo_kwh,grupo_regional,Temperatura_C,Temperatura_Percebida_C,Umidade_Relativa_%,Precipitacao_mm,Velocidade_Vento_kmh,Pressao_Superficial_hPa,is_dac,is_dut,mes,trimestre,is_feriado,is_vespera_feriado,is_dia_util,tipo_maquina_AR CONDICIONADO DE JANELA (ACJ),tipo_maquina_SPLIT CASSETE,tipo_maquina_SPLIT DUTO,tipo_maquina_SPLIT HI-WALL,tipo_maquina_SPLIT PISO-TETO,tipo_maquina_SPLITÃO,tipo_maquina_SPLITÃO INVERTER,tipo_maquina_SPLITÃO ROOFTOP,tipo_maquina_SPLITÃO SELF CONTAINED,estacao_inverno,estacao_outono,estacao_verao,periodo_dia_Madrugada,periodo_dia_Manhã,periodo_dia_Noite,periodo_dia_Tarde
7,2.912299,87,0.37742718446601947,0.37103174603174605,0.6306818181818182,0.37500000000000006,0.6463675213675213,0.4945913461538461,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
8,6.978547,87,0.41626213592233025,0.39285714285714285,0.5625,0.625,0.7147435897435896,0.4975961538461538,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
9,6.929332,87,0.4550970873786408,0.4146825396825397,0.5170454545454546,0.8750000000000001,0.7724358974358972,0.4975961538461538,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
10,7.022338,87,0.49393203883495146,0.4384920634920635,0.46590909090909094,0.625,0.783119658119658,0.49879807692307676,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
11,7.098605,87,0.5230582524271845,0.45833333333333337,0.4318181818181818,0.37500000000000006,0.7959401709401708,0.4969951923076921,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
12,7.089985,87,0.5351941747572816,0.46825396825396826,0.42045454545454547,0.37500000000000006,0.780982905982906,0.4945913461538461,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
13,7.099244,87,0.5449029126213593,0.4841269841269842,0.42613636363636365,0.37500000000000006,0.7617521367521366,0.4915865384615384,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
14,7.135347,87,0.5400485436893204,0.4861111111111111,0.4375,0.37500000000000006,0.7446581196581196,0.48918269230769207,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
15,7.221201,87,0.5424757281553398,0.4861111111111111,0.4431818181818182,0.37500000000000006,0.7638888888888887,0.48707932692307687,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
16,6.764569,87,0.5230582524271845,0.47619047619047616,0.46022727272727276,0.37500000000000006,0.7382478632478632,0.48617788461538436,1,0,7,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
