unit_id,data,hora,metodo,consumo_kwh_total,qtd_dispositivos
117,2025-08-05,12,indireto,2.235,1
117,2025-08-05,13,indireto,5.0,1
117,2025-08-05,14,indireto,4.79,1
117,2025-08-05,15,indireto,4.896,1
117,2025-08-05,16,indireto,5.0,1
117,2025-08-05,17,indireto,5.0,1
117,2025-08-05,18,indireto,5.0,1
117,2025-08-05,19,indireto,5.0,1
117,2025-08-05,20,indireto,5.0,1
117,2025-08-05,21,indireto,5.0,1
117,2025-08-05,22,indireto,0.568,1
117,2025-08-06,7,indireto,4.59,1
117,2025-08-06,8,indireto,5.0,1
117,2025-08-06,9,indireto,5.0,1
117,2025-08-06,10,indireto,5.0,1
117,2025-08-06,11,indireto,4.792,1
117,2025-08-06,12,indireto,5.0,1
117,2025-08-06,13,indireto,5.0,1
117,2025-08-06,14,indireto,5.0,1
117,2025-08-06,15,indireto,4.792,1
117,2025-08-06,16,indireto,5.0,1
117,2025-08-06,17,indireto,5.0,1
117,2025-08-06,18,indireto,5.0,1
117,2025-08-06,19,indireto,5.0,1
117,2025-08-06,20,indireto,5.0,1
117,2025-08-06,21,indireto,5.0,1
117,2025-08-06,22,indireto,0.01,1
117,2025-08-07,11,indireto,0.974,1
117,2025-08-07,12,indireto,5.0,1
117,2025-08-07,13,indireto,5.0,1
117,2025-08-07,14,indireto,5.0,1
117,2025-08-07,15,indireto,5.0,1
117,2025-08-07,16,indireto,5.0,1
117,2025-08-07,17,indireto,5.0,1
117,2025-08-07,18,indireto,3.85,1
117,2025-08-07,19,indireto,3.915,1
117,2025-08-07,20,indireto,5.0,1
117,2025-08-07,21,indireto,4.617,1
117,2025-08-08,12,indireto,3.557,1
117,2025-08-08,13,indireto,5.0,1
117,2025-08-08,14,indireto,5.0,1
117,2025-08-08,15,indireto,5.0,1
117,2025-08-08,16,indireto,5.0,1
117,2025-08-08,17,indireto,5.0,1
117,2025-08-08,18,indireto,4.165,1
117,2025-08-08,19,indireto,3.307,1
117,2025-08-08,20,indireto,5.0,1
117,2025-08-08,21,indireto,5.0,1
117,2025-08-08,22,indireto,0.547,1
117,2025-08-09,11,indireto,2.386,1
117,2025-08-09,12,indireto,5.0,1
117,2025-08-09,13,indireto,5.0,1
117,2025-08-09,14,indireto,5.0,1
