unit_id,data,hora,qtd_devices_total,qtd_dac,qtd_dut,peso_medio_dac,peso_medio_dut,consumo_kwh_total,metodos
117,2025-08-05,12,1,1,0,1.0,0.0,2.235,indireto
117,2025-08-05,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-05,14,1,1,0,1.0,0.0,4.79,indireto
117,2025-08-05,15,1,1,0,1.0,0.0,4.896,indireto
117,2025-08-05,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-05,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-05,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-05,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-05,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-05,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-05,22,1,1,0,1.0,0.0,0.568,indireto
117,2025-08-06,7,1,1,0,1.0,0.0,4.59,indireto
117,2025-08-06,8,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,9,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,10,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,11,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-06,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,15,1,1,0,1.0,0.0,4.792,indireto
117,2025-08-06,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-06,22,1,1,0,1.0,0.0,0.01,indireto
117,2025-08-07,11,1,1,0,1.0,0.0,0.974,indireto
117,2025-08-07,12,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-07,13,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-07,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-07,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-07,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-07,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-07,18,1,1,0,1.0,0.0,3.85,indireto
117,2025-08-07,19,1,1,0,1.0,0.0,3.915,indireto
117,2025-08-07,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-07,21,1,1,0,1.0,0.0,4.617,indireto
117,2025-08-08,12,1,1,0,1.0,0.0,3.557,indireto
117,2025-08-08,13,1,1,0,1.0,0.0,5.0,indireto
